Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,II,Euphorbia lactea,,Euphorbiales,Euphorbiaceae,Euphorbia,RS,NL,,,306.0,live,,,A
2016,N,Haliotis midae,Gastropoda,Archaeogastropoda,Haliotidae,Haliotis,DE,ZA,,4281.6,,shells,kg,T,C
2016,II,Bulbophyllum wendlandianum,,Orchidales,Orchidaceae,Bulbophyllum,DE,PH,,,3.0,live,,T,A
2016,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,,0.5,specimens,g,S,W
2016,II,Pteropus lylei,Mammalia,Chiroptera,Pteropodidae,Pteropus,MC,FR,,4.0,4.0,live,,Z,C
2016,II,Crocodylus porosus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,SG,HK,AU,,8.0,leather products (large),,T,R
2016,II,Parodia leninghausii,,Caryophyllales,Cactaceae,Parodia,ME,NL,,,328.0,live,,,A
2016,II,Python bivittatus,Reptilia,Serpentes,Pythonidae,Python,CA,DE,VN,,2.0,leather products (small),,T,C
2016,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,DK,ZW,,3.0,4.0,trophies,,H,W
2016,II,Varanus tristis,Reptilia,Sauria,Varanidae,Varanus,US,DE,,,1.0,live,,T,C
2016,II,Hippocampus abdominalis,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,US,AU,,5.0,,fingerlings,,T,W
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,KR,JP,ID,,16.0,leather products (small),,T,W
2016,II,Koellensteinia spp.,,Orchidales,Orchidaceae,Koellensteinia,DE,CO,,2.0,,live,,T,A
2016,II,Polyphyllia talpina,Anthozoa,Scleractinia,Fungiidae,Polyphyllia,NL,ID,,11.0,50.0,live,,T,F
2016,II,Aquilaria malaccensis,,Myrtales,Thymelaeaceae,Aquilaria,KW,SG,MY,148.0,653.0,chips,kg,T,W
2016,II,Eclectus roratus,Aves,Psittaciformes,Psittacidae,Eclectus,US,CA,US,2.0,,live,,P,C
2016,II,Aloe ferox,,Liliales,Liliaceae,Aloe,CA,US,ZA,,123.0,extract,kg,T,W
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,ES,HK,VN,12.0,12.0,leather products (small),,T,C
2016,II,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,IN,CH,VE,308.0,,leather products (small),,T,W
2016,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,TT,US,ID,,5.0,live,,T,F
2016,N,Ptyas korros,Reptilia,Serpentes,Colubridae,Ptyas,NL,ID,,20.0,,unspecified,,,
2016,II,Pavona spp.,Anthozoa,Scleractinia,Agariciidae,Pavona,SG,TO,,50.0,,live,,T,W
2016,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,BS,UY,1.96,,caviar,kg,T,I
2016,II,Psittacus erithacus,Aves,Psittaciformes,Psittacidae,Psittacus,FR,TD,CM,1.0,,live,,P,W
2016,II,Sphaeropteris medullaris,,Cyatheales,Cyatheaceae,Sphaeropteris,FR,NZ,,,1150.0,extract,kg,T,W
2016,II,Naultinus elegans,Reptilia,Sauria,Gekkonidae,Naultinus,CA,NL,DE,,2.0,live,,T,C
2016,III,Cedrela odorata,,Sapindales,Meliaceae,Cedrela,DO,GH,,39.22,,timber,m3,T,A
2016,I,Encephalartos sclavoi,,Cycadales,Zamiaceae,Encephalartos,JP,ZA,,4.0,,live,,T,D
2016,II,Euphyllia glabrescens,Anthozoa,Scleractinia,Caryophylliidae,Euphyllia,DK,ID,,485.0,781.0,live,,T,F
2016,II,Boa constrictor,Reptilia,Serpentes,Boidae,Boa,AE,US,,5.0,25.0,live,,T,C
2016,II,Euphorbia phosphorea,,Euphorbiales,Euphorbiaceae,Euphorbia,NO,NL,,,52.0,live,,,A
2016,II,Calanthe puberula,,Orchidales,Orchidaceae,Calanthe,DE,IN,,60.0,60.0,live,,T,A
2016,II,Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,Vicugna,AD,IT,BO,,1.0,garments,,T,W
2016,II,Cereus spp.,,Caryophyllales,Cactaceae,Cereus,BY,NL,,,1363.0,live,,,A
2016,II,Cactaceae spp.,,Caryophyllales,Cactaceae,,US,KH,XX,5.0,,medicine,,T,I
2016,II,Caiman crocodilus crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,CH,AE,VE,,279.0,leather products (small),,T,W
2016,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,US,PW,,2.0,,shells,,P,I
2016,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KH,DE,FR,,8.02675,extract,g,T,C
2016,II,Turbinaria spp.,Anthozoa,Scleractinia,Dendrophylliidae,Turbinaria,TH,ID,,,40.0,live,,T,F
2016,II,Rebutia hybrid,,Caryophyllales,Cactaceae,Rebutia,TH,NL,,,52.0,live,,,A
2016,I,Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,AE,AT,AT,,10.0,live,,P,C
2016,II,Python brongersmai,Reptilia,Serpentes,Pythonidae,Python,US,IT,LA,59.0,27.0,leather products (small),,T,C
2016,II,Python reticulatus,Reptilia,Serpentes,Pythonidae,Python,IL,IT,LA,,2.0,leather products (small),,P,C
2016,II,Tursiops aduncus,Mammalia,Cetacea,Delphinidae,Tursiops,US,SG,,,5.0,specimens,,S,C
2016,II,Agalychnis callidryas,Amphibia,Anura,Hylidae,Agalychnis,JP,NL,,6.0,6.0,live,,T,C
2016,II,Fungia spp.,Anthozoa,Scleractinia,Fungiidae,Fungia,BR,US,,,13.0,live,,T,W
2016,II,Python brongersmai,Reptilia,Serpentes,Pythonidae,Python,US,MX,ID,2450.0,,leather products (small),,T,W
2016,I,Paphiopedilum venustum,,Orchidales,Orchidaceae,Paphiopedilum,CH,DE,,,3.0,live,,T,A
2016,II,Pyrrhura molinae,Aves,Psittaciformes,Psittacidae,Pyrrhura,US,GB,XX,1.0,,live,,P,F
2016,II,Bulbophyllum saltatorium,,Orchidales,Orchidaceae,Bulbophyllum,DE,BR,,21.0,,live,,T,A
2016,II,Ameerega simulans,Amphibia,Anura,Dendrobatidae,Ameerega,US,PE,,1.0,1.0,specimens,,S,W
2016,II,Salvator rufescens,Reptilia,Sauria,Teiidae,Salvator,CH,IT,AR,,10.0,leather products (small),,S,W
2016,II,Fungia spp.,Anthozoa,Scleractinia,Fungiidae,Fungia,DK,ID,,40.0,,raw corals,,T,W
2016,II,Masdevallia excelsior,,Orchidales,Orchidaceae,Masdevallia,DE,EC,,9.0,,live,,T,A
2016,II,Acipenser ruthenus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,KZ,DE,,,0.125,caviar,kg,T,C
2016,II,Tillandsia harrisii,,Bromeliales,Bromeliaceae,Tillandsia,JP,GT,,184905.0,,live,,T,A
2016,II,Euphorbia stellata,,Euphorbiales,Euphorbiaceae,Euphorbia,JP,TW,,2.0,,live,,T,A
2016,II,Varanus salvator,Reptilia,Sauria,Varanidae,Varanus,CN,GB,ID,112.0,,skins,,T,W
